Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
1,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Pedestrian,Serious,Male,18,Car
2,Jan,10,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,28,Pedal cycle
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Male,25,Pedal cycle
1,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Car
3,Jan,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,54,Car
3,Jan,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Car
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
4,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Female,36,Car
4,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Female,46,Car
4,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Passenger,Serious,Male,42,Car
2,Jan,9,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car
2,Jan,7,Wet / Damp,Daylight: street lights present,Other,Driver,Serious,Male,59,Pedal cycle
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Car
3,Jan,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
3,Jan,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car
3,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car
3,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
3,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
1,Jan,22,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Serious,Male,44,Taxi/Private hire car
2,Jan,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,18,Motorcycle over 125cc and up to 500cc
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Pedal cycle
2,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,18,Motorcycle over 50cc and up to 125cc
2,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,35,Motorcycle over 500cc
1,Jan,18,Dry,Darkness: no street lighting,Fine without high winds,Pedestrian,Slight,Male,32,Car
2,Jan,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,35,Other Vehicle 
2,Jan,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,31,Car
2,Jan,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car
2,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,33,Car
2,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,54,Car
2,Jan,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
5,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45,Car
5,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,32,Car
5,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,49,Car
2,Jan,14,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,21,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
1,Jan,18,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Car
1,Jan,18,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,24,Car
2,Jan,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,49,Pedal cycle
1,Jan,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
1,Jan,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,29,Car
1,Jan,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,38,Car
1,Jan,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,40,Car
1,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,76,Car
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
2,Feb,18,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26,Car
1,Feb,5,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,22,Car
1,Feb,5,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,21,Car
2,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2,Feb,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
2,Feb,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
2,Feb,13,Wet / Damp,Daylight: street lights present,Unknown,Driver,Slight,Female,48,Car
2,Feb,10,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,37,Car
1,Feb,17,Snow,Darkness: street lights present and lit,Snowing without high winds,Passenger,Slight,Male,4,Car
1,Feb,9,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,47,Car
2,Feb,15,Snow,Daylight: street lights present,Snowing with high winds,Driver,Slight,Male,49,Car
6,Feb,9,Frost / Ice,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,22,Car
